Fecha,Dia,ID_Dia,Sistema,ID_Sistema,Cantidades,ID_Cantidades,Base,ID_Base,Volumen
01/01/2023,sunday,7,Morelia,2,Historico,1,Firme,1,2177
01/01/2023,sunday,7,Morelia,2,Historico,1,Flexible,2,885
01/01/2023,sunday,7,Morelia,2,Historico,1,Volumetrica,3,314.5
01/01/2023,sunday,7,Morelia,2,Historico,1,Nominacion,4,3376.59
01/01/2023,sunday,7,Morelia,2,Historico,1,Medicion real,5,2405.59284
01/01/2023,sunday,7,Morelia,2,Distribucion consumo,2,Firme,1,2177.09
01/01/2023,sunday,7,Morelia,2,Distribucion consumo,2,Flexible,2,228.50284
01/01/2023,sunday,7,Morelia,2,Distribucion consumo,2,Volumetrica,3,0
01/01/2023,sunday,7,Morelia,2,Distribucion consumo,2,Cana,6,0
01/01/2023,sunday,7,Morelia,2,Distribucion transporte,3,Firme,1,2177.09
01/01/2023,sunday,7,Morelia,2,Distribucion transporte,3,Flexible,2,228.50284
01/01/2023,sunday,7,Morelia,2,Distribucion transporte,3,Volumetrica,3,0
01/01/2023,sunday,7,Morelia,2,Distribucion transporte,3,Interrumpible,7,0
01/01/2023,sunday,7,Morelia,2,Distribucion transporte,3,Cana,6,0
01/01/2023,sunday,7,Morelia,2,Incumplimientos,4,Firme,1,0
01/01/2023,sunday,7,Morelia,2,Incumplimientos,4,Flexible,2,656.49716
01/01/2023,sunday,7,Uruapan,1,Historico,1,Firme,1,1000
01/01/2023,sunday,7,Uruapan,1,Historico,1,Flexible,2,0
01/01/2023,sunday,7,Uruapan,1,Historico,1,Volumetrica,3,270.4
01/01/2023,sunday,7,Uruapan,1,Historico,1,Nominacion,4,1270.4
01/01/2023,sunday,7,Uruapan,1,Historico,1,Medicion real,5,959.46375
01/01/2023,sunday,7,Uruapan,1,Distribucion consumo,2,Firme,1,959.46375
01/01/2023,sunday,7,Uruapan,1,Distribucion consumo,2,Flexible,2,0
01/01/2023,sunday,7,Uruapan,1,Distribucion consumo,2,Volumetrica,3,0
01/01/2023,sunday,7,Uruapan,1,Distribucion consumo,2,Cana,6,0
01/01/2023,sunday,7,Uruapan,1,Distribucion transporte,3,Firme,1,959.46375
01/01/2023,sunday,7,Uruapan,1,Distribucion transporte,3,Flexible,2,0
01/01/2023,sunday,7,Uruapan,1,Distribucion transporte,3,Volumetrica,3,0
01/01/2023,sunday,7,Uruapan,1,Distribucion transporte,3,Interrumpible,7,0
01/01/2023,sunday,7,Uruapan,1,Distribucion transporte,3,Cana,6,0
01/01/2023,sunday,7,Uruapan,1,Incumplimientos,4,Firme,1,0
01/01/2023,sunday,7,Uruapan,1,Incumplimientos,4,Flexible,2,0
02/01/2023,monday,1,Morelia,2,Historico,1,Firme,1,2177.09
02/01/2023,monday,1,Morelia,2,Historico,1,Flexible,2,555
02/01/2023,monday,1,Morelia,2,Historico,1,Volumetrica,3,314.5
02/01/2023,monday,1,Morelia,2,Historico,1,Nominacion,4,3046.59
02/01/2023,monday,1,Morelia,2,Historico,1,Medicion real,5,3104.74753
02/01/2023,monday,1,Morelia,2,Distribucion consumo,2,Firme,1,2177.09
02/01/2023,monday,1,Morelia,2,Distribucion consumo,2,Flexible,2,555
02/01/2023,monday,1,Morelia,2,Distribucion consumo,2,Volumetrica,3,314.5
02/01/2023,monday,1,Morelia,2,Distribucion consumo,2,Cana,6,58.15753
02/01/2023,monday,1,Morelia,2,Distribucion transporte,3,Firme,1,2177.09
02/01/2023,monday,1,Morelia,2,Distribucion transporte,3,Flexible,2,555
02/01/2023,monday,1,Morelia,2,Distribucion transporte,3,Volumetrica,3,314.5
02/01/2023,monday,1,Morelia,2,Distribucion transporte,3,Interrumpible,7,0
02/01/2023,monday,1,Morelia,2,Distribucion transporte,3,Cana,6,0
02/01/2023,monday,1,Morelia,2,Incumplimientos,4,Firme,1,0
02/01/2023,monday,1,Morelia,2,Incumplimientos,4,Flexible,2,0
02/01/2023,monday,1,Uruapan,1,Historico,1,Firme,1,1000
02/01/2023,monday,1,Uruapan,1,Historico,1,Flexible,2,0
02/01/2023,monday,1,Uruapan,1,Historico,1,Volumetrica,3,270.4
02/01/2023,monday,1,Uruapan,1,Historico,1,Nominacion,4,1270.4
02/01/2023,monday,1,Uruapan,1,Historico,1,Medicion real,5,1373.05958
02/01/2023,monday,1,Uruapan,1,Distribucion consumo,2,Firme,1,1000
02/01/2023,monday,1,Uruapan,1,Distribucion consumo,2,Flexible,2,0
02/01/2023,monday,1,Uruapan,1,Distribucion consumo,2,Volumetrica,3,270.4
02/01/2023,monday,1,Uruapan,1,Distribucion consumo,2,Cana,6,102.65958
02/01/2023,monday,1,Uruapan,1,Distribucion transporte,3,Firme,1,1000
02/01/2023,monday,1,Uruapan,1,Distribucion transporte,3,Flexible,2,0
02/01/2023,monday,1,Uruapan,1,Distribucion transporte,3,Volumetrica,3,270.4
02/01/2023,monday,1,Uruapan,1,Distribucion transporte,3,Interrumpible,7,0
02/01/2023,monday,1,Uruapan,1,Distribucion transporte,3,Cana,6,0
02/01/2023,monday,1,Uruapan,1,Incumplimientos,4,Firme,1,0
02/01/2023,monday,1,Uruapan,1,Incumplimientos,4,Flexible,2,0
03/01/2023,tuesday,2,Morelia,2,Historico,1,Firme,1,2177.09
